Date,Open,High,Low,Close,Adj Close,Volume
2006-04-30,11843.299805,12106.000000,10918.299805,11340.500000,11340.500000,4009000
2006-05-31,11327.700195,11585.299805,10744.200195,11548.099609,11548.099609,3704600
2006-06-30,11527.900391,11892.299805,11116.000000,11818.000000,11818.000000,2804600
2006-07-31,11806.900391,12200.000000,11698.500000,12144.700195,12144.700195,2345000
2006-08-31,12152.200195,13001.599609,11969.200195,12934.700195,12934.700195,3493200
2006-09-30,12937.200195,13773.500000,12819.599609,13753.000000,13753.000000,4128400
2006-10-31,13769.200195,14338.000000,13652.000000,13849.299805,13849.299805,4302400
2006-11-30,13910.500000,14420.799805,13551.099609,14146.500000,14146.500000,3066000
2006-12-31,14173.200195,14605.599609,14065.700195,14553.200195,14553.200195,4329600
2007-01-31,14637.500000,14963.599609,14070.900391,14248.400391,14248.400391,4019400
2007-02-28,14228.599609,14730.400391,13602.400391,14641.700195,14641.700195,5543800
2007-03-31,14619.900391,15136.200195,14342.000000,14374.599609,14374.599609,4147400
2007-04-30,14421.799805,15340.500000,14176.000000,15329.400391,15329.400391,4481400
2007-05-31,15330.400391,15543.799805,14582.400391,14892.000000,14892.000000,5317600
2007-06-30,14790.799805,15297.200195,14378.700195,14802.400391,14802.400391,4294200
2007-07-31,14508.900391,15028.700195,13841.599609,14479.799805,14479.799805,4550000
2007-08-31,14517.700195,14704.500000,13519.099609,14576.500000,14576.500000,4565600
2007-09-30,14519.000000,15897.299805,14443.900391,15890.500000,15890.500000,5692400
2007-10-31,15864.099609,16040.400391,15165.099609,15759.900391,15759.900391,5746200
2007-11-30,15767.099609,15983.400391,15107.400391,15182.299805,15182.299805,3659400
2007-12-31,15101.900391,15186.000000,11937.200195,13229.000000,13229.000000,7936000
2008-01-31,13440.700195,13652.099609,12721.400391,13170.400391,13170.400391,6137000
2008-02-29,12998.000000,13596.400391,12571.400391,13269.000000,13269.000000,5641600
2008-03-31,13205.599609,14019.599609,13106.799805,13798.299805,13798.299805,4952800
2008-04-30,13916.200195,14301.299805,13397.900391,13600.900391,13600.900391,4088600
2008-05-31,13610.500000,13612.099609,11874.500000,12046.200195,12046.200195,5588400
2008-06-30,12028.500000,12035.200195,10932.400391,11881.299805,11881.299805,6375400
2008-07-31,11719.000000,12078.700195,11185.500000,11707.299805,11707.299805,3607800
2008-08-31,11607.500000,11936.299805,10571.099609,10987.500000,10987.500000,6706200
2008-09-30,11064.299805,11441.500000,7737.200195,9116.000000,9116.000000,8630800
2008-10-31,9185.799805,9883.799805,7830.899902,8910.599609,8910.599609,5648400
2008-11-30,8914.000000,9332.900391,8293.200195,9195.799805,9195.799805,4284400
2008-12-31,9262.000000,9800.000000,7981.700195,8450.400391,8450.400391,5082800
2009-01-31,8275.400391,8653.799805,7385.000000,7620.899902,7620.899902,4921200
2009-02-28,7428.600098,8121.700195,6702.600098,7815.000000,7815.000000,6333400
2009-03-31,7761.299805,9100.799805,7637.200195,9038.000000,9038.000000,5942800
2009-04-30,9048.099609,9555.599609,8828.500000,9424.299805,9424.299805,4983600
2009-05-31,9554.799805,9890.599609,9200.700195,9787.799805,9787.799805,5045800
2009-06-30,9798.099609,10932.900391,9241.200195,10855.099609,10855.099609,4715000
2009-07-31,10809.900391,11522.799805,10511.900391,11365.099609,11365.099609,3314600
2009-08-31,11434.000000,11938.200195,10874.400391,11756.099609,11756.099609,4155000
2009-09-30,11766.599609,11960.400391,11268.500000,11414.799805,11414.799805,4883000
2009-10-31,11354.000000,12102.599609,11179.900391,11644.700195,11644.700195,3710400
2009-11-30,11746.200195,12070.900391,11468.700195,11940.000000,11940.000000,3418800
2009-12-31,11986.500000,12240.500000,10821.200195,10947.700195,10947.700195,4322800
2010-01-31,10852.400391,11201.599609,9916.599609,10333.599609,10333.599609,5002200
2010-02-28,10434.700195,11190.000000,10287.599609,10871.299805,10871.299805,4184200
2010-03-31,10950.400391,11566.099609,10077.900391,10492.200195,10492.200195,4806800
2010-04-30,10426.200195,10452.200195,8812.099609,9359.400391,9359.400391,7346800
2010-05-31,9282.200195,10209.500000,8563.599609,9263.400391,9263.400391,5692800
2010-06-30,9041.700195,10788.000000,8977.700195,10499.799805,10499.799805,4784200
2010-07-31,10535.400391,10953.099609,9773.799805,10187.000000,10187.000000,1008385400
2010-08-31,10232.700195,10902.500000,10170.099609,10514.500000,10514.500000,3974524000
2010-09-30,10520.099609,11021.599609,10310.200195,10812.900391,10812.900391,4111587000
2010-10-31,10901.799805,10903.400391,9203.400391,9267.200195,9267.200195,6027089000
2010-11-30,9344.200195,10253.900391,9331.400391,9859.099609,9859.099609,4494834000
2010-12-31,9899.400391,10961.099609,9387.900391,10806.000000,10806.000000,6049364000
2011-01-31,10886.200195,11165.000000,10543.299805,10850.799805,10850.799805,4876608000
2011-02-28,10898.799805,10939.700195,10076.500000,10576.500000,10576.500000,6002825000
2011-03-31,10657.200195,10958.200195,10289.099609,10878.900391,10878.900391,4154179000
2011-04-30,10917.400391,10928.200195,10030.599609,10476.000000,10476.000000,4360330000
2011-05-31,10506.000000,10549.000000,9758.500000,10359.900391,10359.900391,4607256000
2011-06-30,10359.400391,10536.799805,9276.099609,9630.700195,9630.700195,5595492000
2011-07-31,9713.000000,9752.299805,7767.299805,8718.599609,8718.599609,6303557000
2011-08-31,8748.000000,8801.700195,7505.299805,8546.599609,8546.599609,5115628000
2011-09-30,8346.599609,9351.000000,8065.100098,8954.900391,8954.900391,4462550000
2011-10-31,8775.400391,8800.900391,7601.200195,8449.500000,8449.500000,4507031000
2011-11-30,8441.000000,8844.200195,8120.899902,8566.299805,8566.299805,3628801000
2011-12-31,8558.000000,8746.599609,8233.799805,8509.200195,8509.200195,4613077000
